language,dialect,accent,source,original_text,standard_persian_translation,english_translation,dezfuli_translation,dezfuli_transliteration,lori_translation,lori_transliteration,tonekaboni_translation,tonekaboni_transliteration,semnani_translation,semnani_transliteration,southern_kurdish_kalhori_translation,southern_kurdish_kalhori_transliteration,zoroastrian_yazdi_transliteration
Caspian,Mazandarani,Tonekaboni,http://www.deilamestan.ir/news_loader/news.aspx?index=173,دره بوشوم,دارم مي روم,I'm going.,دارُم برُُم,darowm berowm,داروم ایروم,dārom irom,داره بوشُم,dare bushom,دارون مٍشین,dārun meshin,دەرەم چەم,derem chem,"dāroshe  "
Caspian,Mazandarani,Tonekaboni,https://pourkhalili.blogfa.com/post/46/%D9%81%D9%87%D8%B1%D8%B3%D8%AA-%DA%A9%D9%86%D8%A7%DB%8C%D8%A7%D8%AA-%D9%88-%D8%B6%D8%B1%D8%A8-%D8%A7%D9%84%D9%85%D8%AB%D9%84-%D9%87%D8%A7%DB%8C-%D8%AA%D9%86%DA%A9%D8%A7%D8%A8%D9%86%DB%8C-(-%D8%AD%D8%B1%D9%81-%D8%A7%D9%84%D9%81-)-,اُنه خرس بُخاره ، تَرکِنه ( مو کِلَندَنه ),خرس آن را بخورد ، می ترکد . ( موهایش می ریزد . ),"The bear eats it, it bursts. (Its hair falls out.)",اَ خِرسی خُوَراش، بِتِرِكِهَ. (مياش بِريزِهِن.),"a khersi khowarash, beterkeh. (miyash berizehen.)",ای خرسم ینه خرد ایپوکه,ay khersam yene khard ipukeh,خرس اَنه بوخاره، ترکنه (اینه مو ریزنه),"khers ane bokhare, terkene (ine mu rizene)",خٍرس ژو بَخورِه، مٍتٍرکییِه (ژو می مٍریژییَن),"khers zho bakhure, meterkiye zho mi merizhiyan",خەرس ئاوه بۆخۆوەی، ترەکە. (موێلی ڕەزە.),"khers āwa bkhwey, tarake. (mueyli rreze.)",khers o ro vakhra traka
Caspian,Mazandarani,Tonekaboni,https://telegram.me/s/gilaki_rashti?before=95,مره وشنأ هیسه,گشنمه,I'm hungry.,گُسنَمَ,gosnam,گسنمه,gosnameh,مِره وشنایه,mere vashnāye,وَشُنون,vashonun,گۆسنمە,gosnama,vāshnama
Caspian,Mazandarani,Tonekaboni,https://telegram.me/s/gilaki_rashti?before=95,مۊ چأیی نۊخؤرم,من چای نمی‌خورم,I don't drink tea.,مو چایی نَمخَرُم.,mow chāei namkhowarowm,مو چویی نیخروم,mo choyi nikharom,چای نوخارنُم,chāi nokharnom,اَ چایی مٍناخارون,a chāii menākhārun,مە چای نیخۆوم,me chāy nyakhowam,me chāyi nakhre
Caspian,Mazandarani,Tonekaboni,https://mahanmusic.net/song-sad-gilani/,عالی بوبوسه تی جان و قوربان برر,عالی بود؛ بوسه بر جانت، قربانت بروم,"It was wonderful; a kiss on your soul, may I be yours.",عالی بید؛ بوسی بِ جونت، دورت گَردام.,"āali bid, bosi beh jonet, dowret gardām",عالی بی دورت بگردوم,āli bi doret begardom,عالی با؛ ماچ تی جان، تی قربان بوشُم,"āli bā; māch ti jān, ti ghorbān boshum",عالی با، بوسا تَه جُوْن، تَه دُوْر بَگٍردون,"āli bā, busā ta jown, ta dowr bagerdun",فره خاس بی، ماچ و گیانت، قوربانت بچم,"fera khās bi, māch wa gyanet, qorbānet bechem","kheyli khib bo, buch var junod, korbunod be."
Caspian,Mazandarani,Tonekaboni,https://pourkhalili.blogfa.com/post/46/%D9%81%D9%87%D8%B1%D8%B3%D8%AA-%DA%A9%D9%86%D8%A7%DB%8C%D8%A7%D8%AA-%D9%88-%D8%B6%D8%B1%D8%A8-%D8%A7%D9%84%D9%85%D8%AB%D9%84-%D9%87%D8%A7%DB%8C-%D8%AA%D9%86%DA%A9%D8%A7%D8%A8%D9%86%DB%8C-(-%D8%AD%D8%B1%D9%81-%D8%A7%D9%84%D9%81-)-,اَفتاب ( اَوتاو ) کُرا دربُمَه ؟,آفتاب از کدام سمت درآمده است؟,From which direction has the sun risen?,اَفتو اَ كولا دَر اومَسَ.,aftow a kolā dar omasa,افتو و کمو ور زیده بالا,aftow va kemu var zeyde bālā,آفتاب کُدام سَمت در بومه؟,āftab kodām samt dar boma?,اَفتُو کُمین وَر پی بیرین اٍمیچی؟,aftow komin var pi birin emichi,ئه‌فتەو و کورە دەرهاتیه؟,āftow wa kura der hatiya?,tow kovari barem za
Caspian,Mazandarani,Tonekaboni,https://pourkhalili.blogfa.com/post/46/%D9%81%D9%87%D8%B1%D8%B3%D8%AA-%DA%A9%D9%86%D8%A7%DB%8C%D8%A7%D8%AA-%D9%88-%D8%B6%D8%B1%D8%A8-%D8%A7%D9%84%D9%85%D8%AB%D9%84-%D9%87%D8%A7%DB%8C-%D8%AA%D9%86%DA%A9%D8%A7%D8%A8%D9%86%DB%8C-(-%D8%AD%D8%B1%D9%81-%D8%A7%D9%84%D9%81-)-,اُنه خدا بَزَه,او را خدا زده است.,God has struck him.,خدا زِيدَ مِ سَرِش.,khodā zayda me saresh,وونه خدا زیدشه,vone khodā zeydesheh,اونه خدا بزه.,une khoda baza.,خُدِه ژو بوکوآچی,khode zho bukuāchi,ئاوه خۆدا داسە لی.,āwa khodā dāsa li.,mo ji khzāsho koshta
Caspian,Mazandarani,Tonekaboni,http://www.deilamestan.ir/news_loader/news.aspx?index=173,چي درست هکردي,چي درست کردي,What did you do?,چِ ساختيَه,che sākhtiyah,چه درست کردیه,che dorost kerdiyeh,چی درست اَکوردی,chi doros akordi,چیچی دُرُست کٍرچَه؟,chichi dorost kercha,چه دۆرۆس کەردیده؟,cha doros kerdida?,chechi dederese kārta
Caspian,Mazandarani,Tonekaboni,https://fa.wikipedia.org/wiki/%D8%AA%D9%86%DA%A9%D8%A7%D8%A8%D9%86,kijâšon dare bušon,دخترها دارند می‌روند,The girls are leaving.,دُختَرون دارِن بِروِن,dokhtaron dāren berowen,دورل دارن ایرن,duvaral dāren iran,کیجایِشان دارن بوشن,kijāyshān daren boshon,دُختٍری دارَن مٍشین,dokhteri dāran meshin,دوتەیل دەرەن چەن,doteyl deren chen,dotogun dāran shan
Caspian,Mazandarani,Tonekaboni,https://fa.wikipedia.org/wiki/%D8%AA%D9%86%DA%A9%D8%A7%D8%A8%D9%86,kijâšon dabon bušon,دخترها داشتند می‌رفتند,The girls were going.,دُختَرون داشتِن بِرَفتِن,dokhtaron dāshten beraften,دورل داشتن ایرفتن,duvaral dāshten iraftan,کیجایِشان دَبون بوشن,kijāyshān dabān boshon,دُختٍری دٍرشُن مٍشِن,dokhteri dershon meshen,دوتەیل داشتن چیان,doteyl dashten chiyān,dotogun dāshtan shoan
