,language,dialect,accent,target_language,text,translation,source,transliteration,sentiment1,sentiment2,sentiment3
60,Persian,"Persian, Iranian",Isfahani,Standard Persian,پَ چرا نیمییَیْ؟,پس چرا نمی‌آیی؟,https://www.delgarm.com/isfahani-dialect-training.a240735,pa cherā nimiyay,2,2,1
61,Persian,"Persian, Iranian",Isfahani,Standard Persian,ما وَم میَیم,ما هم می‌آییم,https://www.delgarm.com/isfahani-dialect-training.a240735,mā vam miyaym,2,3,2
62,Persian,"Persian, Iranian",Isfahani,Standard Persian,دِ جَل باش,عجله کن,https://www.delgarm.com/isfahani-dialect-training.a240735,de jal bāsh,2,1,1
63,Persian,"Persian, Iranian",Isfahani,Standard Persian,بولونی پَ کوجای پَ؟,پس کجایی عزیزم؟,https://www.beytoote.com/fun/comic-subject/master-discontinuous-esfahani.html,bului pa kujāy pa,3,2,3
64,Persian,"Persian, Iranian",Isfahani,Standard Persian,بیا بریم ناهار بخوریم. وای نه یه زا آلاشغال خوردم تو دلم انقلابه.,بیا برویم ناهار بخوریم. وای نه، یک چیز آشغال خوردم، دلم به‌هم ریخته.,https://www.beytoote.com/fun/comic-subject/master-discontinuous-esfahani.html,biyā berim nāhār bokhorim vāy na yezā ālāshqāl khordaam tu delam enqelābe,1,1,1
65,Persian,"Persian, Iranian",Isfahani,Standard Persian,منا تو آ حسن,من و تو و حسن,https://www.delgarm.com/isfahani-dialect-training.a240735,manā tovā hasan,2,2,2
66,Persian,"Persian, Iranian",Isfahani,Standard Persian,گلا بلبلا سنبل,گل و بلبل و سنبل,https://www.delgarm.com/isfahani-dialect-training.a240735,golā bolbolā sonbol,2,3,3
67,Persian,"Persian, Iranian",Isfahani,Standard Persian,۵ آ ۴ آ ۳,۵+۴+۳,https://www.delgarm.com/isfahani-dialect-training.a240735,sevā chārā panj,2,2,2
68,Persian,"Persian, Iranian",Isfahani,Standard Persian,دِ پَ چرا نیمیای؟,آخه پس چرا نمی‌آیی؟,https://www.delgarm.com/isfahani-dialect-training.a240735,de pa cherā nimiyay,1,1,1
69,Persian,"Persian, Iranian",Isfahani,Standard Persian,کمرم شیت شد,کمرم داغون شد.,https://www.beytoote.com/fun/comic-subject/master-discontinuous-esfahani.html,kamaram shit shod,1,1,1
