language,dialect,accent,text
Persian,"Persian, Iranian (Iran)",General,دارم مي روم
Persian,"Persian, Iranian (Iran)",General,خرس آن را بخورد ، می ترکد . ( موهایش می ریزد . )
Persian,"Persian, Iranian (Iran)",General,گشنمه
Persian,"Persian, Iranian (Iran)",General,من چای نمی‌خورم
Persian,"Persian, Iranian (Iran)",General,عالی بود؛ بوسه بر جانت، قربانت بروم
Persian,"Persian, Iranian (Iran)",General,آفتاب از کدام سمت درآمده است؟
Persian,"Persian, Iranian (Iran)",General,او را خدا زده است.
Persian,"Persian, Iranian (Iran)",General,چي درست کردي
Persian,"Persian, Iranian (Iran)",General,دخترها دارند می‌روند
Persian,"Persian, Iranian (Iran)",General,دخترها داشتند می‌رفتند
Persian,"Persian, Iranian (Iran)",General,روانشناسان خاصیت‌های بسیاری را برای گریه‌کردن برشمرده‌اند و گریه کردن را برای رها شدن از فشار استرس و تحمل درد و غم و غصه می‌دانند.
Persian,"Persian, Iranian (Iran)",General,اون مربا خوردن داره
Persian,"Persian, Iranian (Iran)",General,در مدت عمرم همچین غذاهایی نخورده‌ام
Persian,"Persian, Iranian (Iran)",General,اهل و عیال چطور هستند؟
Persian,"Persian, Iranian (Iran)",General,دستتان درد نکند برای پخش این کلیپ درباره گیوه هرسینی
Persian,"Persian, Iranian (Iran)",General,ای داد و بیداد برای میراث پدرانمان که بی پشت و پناه مانده‌اند
Persian,"Persian, Iranian (Iran)",General,بیشترشان را اولین بار است که میبینم
Persian,"Persian, Iranian (Iran)",General,ای جان برای شهرمان
Persian,"Persian, Iranian (Iran)",General,درود فراوان به زنان کورد سراسر دنیا از کرمانشاه گرفته تا کوردستان
Persian,"Persian, Iranian (Iran)",General,هروقت نان درست می‌کرد صدایمان میزد. ما بچه‌ها هم همگی به‌صف کنارش می‌نشستیم و چشم به راه می‌ماندیم تا نان روی ساج برشته می‌شد و به دست‌مان می‌داد.
Persian,"Persian, Iranian (Iran)",General,بردن و آوردن
Persian,"Persian, Iranian (Iran)",General,داد و فریاد
Persian,"Persian, Iranian (Iran)",General,خدا نگهدار
Persian,"Persian, Iranian (Iran)",General,اگر امر حضرت حق نباشد، برگی از درخت نمی‌افتد.
Persian,"Persian, Iranian (Iran)",General,اگر نخوردیم نان گندم، اما دیدم دست مردم
Persian,"Persian, Iranian (Iran)",General,آن چیست تا دست به چشمش فرو نکنی، دهان باز نمی‌کند؟
Persian,"Persian, Iranian (Iran)",General,مگه بهت زنگ نزدند؟
Persian,"Persian, Iranian (Iran)",General,فریاد
Persian,"Persian, Iranian (Iran)",General,خسته
Persian,"Persian, Iranian (Iran)",General,فرار
Persian,"Persian, Iranian (Iran)",General,بگو چقدر سرگرم‌کننده خواهد بود.
Persian,"Persian, Iranian (Iran)",General,لعنت بر پدرت
Persian,"Persian, Iranian (Iran)",General,هکرهای ما هیچ کم از دیگران ندارند.
Persian,"Persian, Iranian (Iran)",General,خیلی جالب خواهد بود.
Persian,"Persian, Iranian (Iran)",General,فقط منتظر یکی از بازی‌های شیرینت باش.
Persian,"Persian, Iranian (Iran)",General,ما منتظر تازه‌ترین آتش خواهیم ماند
Persian,"Persian, Iranian (Iran)",General,به این معناست که، ساخته نخواهد شد.
Persian,"Persian, Iranian (Iran)",General,با اینکه از ده کارگر تشکیل شده است، 15 سال طول می‌کشد.
Persian,"Persian, Iranian (Iran)",General,به نظر می‌رسد که سایر افراد نیز با هواپیما به لوگر خواهند رفت ...
Persian,"Persian, Iranian (Iran)",General,ساخت این فرودگاه نیز به نظر می‌رسد مشابه رفتن به مریخ باشد.
Persian,"Persian, Iranian (Iran)",General,درخت میوه کرم از خودش است. 
Persian,"Persian, Iranian (Iran)",General,بیرون باغ که دیدیم تا انتهای باغ را دیده ایم. 
Persian,"Persian, Iranian (Iran)",General,حرف اگر داخل شیشه کنی به بیرون درز خواهد کرد. 
Persian,"Persian, Iranian (Iran)",General,حرف تا در دل داری در اختیار تست.
Persian,"Persian, Iranian (Iran)",General,دل که سفره نیست پیش همه پهن کنی. 
Persian,"Persian, Iranian (Iran)",General,خرس را به آهنگری بسته‌اند.
Persian,"Persian, Iranian (Iran)",General,اگر باید آب را در هاون کند که بکوبی نمی‌گذارد بیکار باشی. 
Persian,"Persian, Iranian (Iran)",General,کور اگر بازار نرود بازار می‌گندد.
Persian,"Persian, Iranian (Iran)",General,آیت کرت آخر است. 
Persian,"Persian, Iranian (Iran)",General,چاه کن همیشه ته چاه است. 
Persian,"Persian, Iranian (Iran)",General,قیمت غذا مسبت به حجم غذا خیلی خیلی گرون و غیر منصفانه ست ساندویچ هیولای ژامبون در حد بچه غول هم نبود و اصلا هم خوشمزه نبود اما ساندویچ چوریتسو عالی و بسیار بسیار خوشمزه بود
Persian,"Persian, Iranian (Iran)",General,لطف کنید از عکس‌های اینترنتی استفاده نکنید و عکس خوده محصولتون رو بزارید. اخه این کجا و اون کجا. متاسفام
Persian,"Persian, Iranian (Iran)",General,شدیدا اسیب دیده بود (طبق عکس اپلود شده)
Persian,"Persian, Iranian (Iran)",General,به جای کیک وانیلی کاکائویی، کیک کاکائویی ساده ارسال شده بود.
Persian,"Persian, Iranian (Iran)",General,خورشتش مزه آب میداد و ٩٥٪‏ حجم قیمش لپه بود: / اصلا پیشنهاد نمیکنم!!:
Persian,"Persian, Iranian (Iran)",General,بسیار عالی و به موقع، ممنونم
Persian,"Persian, Iranian (Iran)",General,حجم ساندویجش کلا نصف شده!
Persian,"Persian, Iranian (Iran)",General,عالی.. فقط جای یه چنگال خالی بود
Persian,"Persian, Iranian (Iran)",General,فوق العاده بی نمک بود و بوی تند گوشت میداد
Persian,"Persian, Iranian (Iran)",General,اول اینکه بوی بدی داشت دوم اینکه به همه چیز میخور به جز رست بیف جوری که منو یاد گوشت آب پز داخل دیزی انداخت بسیار خیس بود نان خشک و بد مزه‌ای داشت لطفا تناسب مایعات رو رعایت کنید احتمالا آخرین بار هست که سفارش از اینجا میدم
Persian,"Persian, Iranian (Iran)",General,پس چرا نمی‌آیی؟
Persian,"Persian, Iranian (Iran)",General,ما هم می‌آییم
Persian,"Persian, Iranian (Iran)",General,عجله کن
Persian,"Persian, Iranian (Iran)",General,پس کجایی عزیزم؟
Persian,"Persian, Iranian (Iran)",General,بیا برویم ناهار بخوریم. وای نه، یک چیز آشغال خوردم، دلم به‌هم ریخته.
Persian,"Persian, Iranian (Iran)",General,من و تو و حسن
Persian,"Persian, Iranian (Iran)",General,گل و بلبل و سنبل
Persian,"Persian, Iranian (Iran)",General,۵+۴+۳
Persian,"Persian, Iranian (Iran)",General,آخه پس چرا نمی‌آیی؟
Persian,"Persian, Iranian (Iran)",General,کمرم داغون شد.
Persian,"Persian, Iranian (Iran)",General,این کار که انقدر به فس فس کردن و دیر جنبیدن نیاز ندارد.
Persian,"Persian, Iranian (Iran)",General,یک بار دیگر این‌طور بشود، با او دعوا می‌کنم.
Persian,"Persian, Iranian (Iran)",General,از بس خوب بود، دل‌پیچه گرفتم.
Persian,"Persian, Iranian (Iran)",General,برای چه؟
Persian,"Persian, Iranian (Iran)",General,با کار/آدم خطرناک درافتاده.
Persian,"Persian, Iranian (Iran)",General,خدا داند، خدیجه.
Persian,"Persian, Iranian (Iran)",General,حالا انقدر هم شوخ و شنگ بودن و بگو بخند کردن خوب نیست.
Persian,"Persian, Iranian (Iran)",General,مگر کسی دنبالت می‌کند?
Persian,"Persian, Iranian (Iran)",General,نان گندم برای هضم به شکم (معده) فولادی نیاز دارد.
Persian,"Persian, Iranian (Iran)",General,این شخص خیلی خسیس است.
Persian,"Persian, Iranian (Iran)",General,چاقوی تیز، برای برّة نر آمده است.
Persian,"Persian, Iranian (Iran)",General,برای خودت بخور، برای مردم بپوش.
Persian,"Persian, Iranian (Iran)",General,سفرهٔ بابای شما سر کوچه است.
Persian,"Persian, Iranian (Iran)",General,این شکوفه‌ها چه زیبا هستند
Persian,"Persian, Iranian (Iran)",General,خانهٔ شما
Persian,"Persian, Iranian (Iran)",General,خدا خر را دیده که به او شاخ نداده
Persian,"Persian, Iranian (Iran)",General,طرف مار را کشته، اما بچه مار را زنده گذاشته.
Persian,"Persian, Iranian (Iran)",General,جنگلی شتر دیده.
Persian,"Persian, Iranian (Iran)",General,چشم زمستان کور است.
Persian,"Persian, Iranian (Iran)",General,گربه را بُراق کرده.
Persian,"Persian, Iranian (Iran)",General,فدا سرت. عیبی نداره.
Persian,"Persian, Iranian (Iran)",General, دماغش چقدر پهنه. لباش شبیه پشت عنترن.
Persian,"Persian, Iranian (Iran)",General, انگار از پشت فیل افتاده.
Persian,"Persian, Iranian (Iran)",General, تو رو خدا بفرما داخل خونه.
Persian,"Persian, Iranian (Iran)",General,عبده این کی بود؟
Persian,"Persian, Iranian (Iran)",General,غلام با ابر سیاه آمد و دختر را به قصر شاه پریان برد.
Persian,"Persian, Iranian (Iran)",General,این وب چقدر قشنگه.
Persian,"Persian, Iranian (Iran)",General,می‌خواهم یقه‌ام را پاره کنم (از استیصال/عصبانیت)
Persian,"Persian, Iranian (Iran)",General, گند بخوره به کارت.
Persian,"Persian, Iranian (Iran)",General, برعکس مادرش که عاقل بود خودش انگار دیونس.
Unclassified,Dezfuli (Iran),Dezfuli,دارُم برُُم
Unclassified,Dezfuli (Iran),Dezfuli,اَ خِرسی خُوَراش، بِتِرِكِهَ. (مياش بِريزِهِن.)
Unclassified,Dezfuli (Iran),Dezfuli,گُسنَمَ
Unclassified,Dezfuli (Iran),Dezfuli,مو چایی نَمخَرُم.
Unclassified,Dezfuli (Iran),Dezfuli,عالی بید؛ بوسی بِ جونت، دورت گَردام.
Unclassified,Dezfuli (Iran),Dezfuli,اَفتو اَ كولا دَر اومَسَ.
Unclassified,Dezfuli (Iran),Dezfuli,خدا زِيدَ مِ سَرِش.
Unclassified,Dezfuli (Iran),Dezfuli,چِ ساختيَه
Unclassified,Dezfuli (Iran),Dezfuli,دُختَرون دارِن بِروِن
Unclassified,Dezfuli (Iran),Dezfuli,دُختَرون داشتِن بِرَفتِن
Unclassified,Dezfuli (Iran),Dezfuli,روانشناسون خواص زياديَه سی گِريوِسَن گُفتِنَ و گِريوِسَن را سی گُرُختَن اَ فشار غُصَ دونِن.
Unclassified,Dezfuli (Iran),Dezfuli,ای مربا خُوَردَن دارَ.
Unclassified,Dezfuli (Iran),Dezfuli,مِنِ كُلِ عُمرُم ايطور غذایی نخُوَردَمِ
Unclassified,Dezfuli (Iran),Dezfuli,اهل هوش چطورِن؟
Unclassified,Dezfuli (Iran),Dezfuli,دَستون بی بلا سی پخش ای فیلم سی گیوَ هرسينی.
Unclassified,Dezfuli (Iran),Dezfuli,وِيلَتِ سی ارثِ بوَمون كه بی کَس موندِنِ
